Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
3/13/2024,Buy,MSFT,MICROSOFT CORP,3.5461,20.74,,($73.55)
3/13/2024,Buy,NNDM,NANO DIMENSION LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS,29.4075,0.15,,($4.37)
3/13/2024,Buy,CEVA,CEVA INC,4.3698,1.23,,($5.36)
3/13/2024,Buy,AMBA,AMBARELLA INC F,4.2667,2.68,,($11.43)
3/13/2024,Buy,ADBE,ADOBE INC,1.7698,29.03,,($51.37)
3/13/2024,Buy,META,META PLATFORMS INC CLASS A,2.6524,24.8,,($65.77)
3/13/2024,Buy,AI,C3 AI INC CLASS A,8.4294,1.53,,($12.92)
3/13/2024,Buy,XMTR,XOMETRY INC CLASS A,5.0238,0.89,,($4.45)
3/13/2024,Buy,NICE,NICE LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS,0.8812,12.04,,($10.61)
3/13/2024,Buy,COF,CAPITAL ONE FC,3.322,6.99,,($23.22)
3/13/2024,Buy,INTC,INTEL CORP,15.5602,2.18,,($33.88)
3/13/2024,Buy,WIT,WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS,58.0161,0.3,,($17.45)
3/13/2024,Buy,INTU,INTUIT INC,0.9405,32.85,,($30.90)
3/13/2024,Buy,ACN,ACCENTURE PLC FCLASS A,1.9143,18.95,,($36.28)
3/13/2024,Buy,SSTK,SHUTTERSTOCK INC,2.37,2.62,,($6.20)
3/13/2024,Buy,TRI,THOMSON REUTERS CORP F,2.808,7.8,,($21.90)
3/13/2024,Buy,NVDA,NVIDIA CORP,1.8537,44.51,,($82.51)
3/13/2024,Buy,PATH,UIPATH INC CLASS A,12.7857,1.24,,($15.80)
3/13/2024,Buy,BIDU,BAIDU INC FSPONSORED ADR 1 ADR REPS 8 ORD SHS,5.2386,5.49,,($28.73)
3/13/2024,Buy,SYNA,SYNAPTICS INC,1.5601,5.17,,($8.06)
3/13/2024,Buy,CRNC,CERENCE INC,7.1817,0.77,,($5.56)
3/13/2024,Buy,AMZN,AMAZON.COM INC,8.2985,8.84,,($73.38)
3/13/2024,Buy,GOOGL,ALPHABET INC. CLASS A,10.594,7.03,,($74.48)
3/13/2024,Buy,SOUN,SOUNDHOUND AI INC CLASS A,24.4702,0.38,,($9.35)
3/13/2024,Buy,IBM,IBM CORP,4.2936,9.83,,($42.19)
3/13/2024,Buy,90421MFV0,"UMPQUA BANK, ORE 5.35%24CD FDIC INS DUE 06/20/24US","80,000",5,,"($4,000.00)"
3/20/2024,Buy,29978MCE6,"EVERBANK, NTNL AS 5.3%24CD FDIC INS DUE 06/28/24US","102,000",5,,"($5,100.00)"
4/12/2024,MoneyLink Deposit,,AMERICANEXPRESS,,,,$0.02 
4/12/2024,MoneyLink Deposit,,AMERICANEXPRESS,,,,$0.00 
4/18/2024,Reinvest Shares,INTU,INTUIT INC,0.0014,30.43,,($0.04)
4/18/2024,Qual Div Reinvest,INTU,INTUIT INC,,,,$0.04 
5/15/2024,Qualified Dividend,ACN,ACCENTURE PLC FCLASS A,,,,$0.12 
5/20/2024,Buy,045491SK4,"ASSOCIATED BANK, 5.35%24CD FDIC INS DUE 08/30/24US","50,000",5,,"($2,500.00)"
5/24/2024,Reinvest Shares,COF,CAPITAL ONE FC,0.0143,6.94,,($0.10)
5/24/2024,Qual Div Reinvest,COF,CAPITAL ONE FC,,,,$0.10 
6/3/2024,Reinvest Shares,INTC,INTEL CORP,0.0638,1.53,,($0.10)
6/3/2024,Buy,69355NFZ3,"PNC BANK, NTNL AS 5.4%24CD FDIC INS DUE 12/06/24US","55,000",5,,"($2,750.00)"
6/10/2024,Reinvest Shares,IBM,IBM CORP,0.0422,8.5,,($0.36)
6/10/2024,Foreign Tax Paid,TRI,THOMSON REUTERS CORP F,,,,($0.02)
6/10/2024,Qualified Dividend,TRI,THOMSON REUTERS CORP F,,,,$0.08 
6/10/2024,Qual Div Reinvest,IBM,IBM CORP,,,,$0.36 
6/13/2024,Reinvest Shares,MSFT,MICROSOFT CORP,0.006,22.08,,($0.13)
6/13/2024,Reinvest Shares,SSTK,SHUTTERSTOCK INC,0.0179,1.99,,($0.04)
6/13/2024,Qual Div Reinvest,SSTK,SHUTTERSTOCK INC,,,,$0.04 
6/13/2024,Qual Div Reinvest,MSFT,MICROSOFT CORP,,,,$0.13 
6/17/2024,Reinvest Shares,GOOGL,ALPHABET INC. CLASS A,0.0121,8.79,,($0.11)
6/17/2024,Buy,74049NDF1,PREMIER BK YOUNGS 5.4%24CD FDIC INS DUE 09/25/24US,"200,000",5,,"($10,000.00)"
6/17/2024,Qual Div Reinvest,GOOGL,ALPHABET INC. CLASS A,,,,$0.11 
6/20/2024,CD Interest,90421MFV0,UMPQUA BANK 5.35XXX**MATURED** US,,,,$53.94 
6/20/2024,CD Deposit Funds,90421MFV0,UMPQUA BANK 5.35XXX**MATURED** US,,,,"$4,000.00 "
6/20/2024,CD Deposit Adj,90421MFV0,UMPQUA BANK 5.35XXX**MATURED** US,"-80,000",,,$0.00 
6/26/2024,Qualified Dividend,META,META PLATFORMS INC CLASS A,,,,$0.07 
6/28/2024,Reinvest Shares,NVDA,NVIDIA CORP,0.0015,6.2,,($0.01)
6/28/2024,Qual Div Reinvest,NVDA,NVIDIA CORP,,,,$0.01 
6/28/2024,CD Interest,29978MCE6,"EVERBANK, NTNL AS 5.3XXX**MATURED** US",,,,$68.13 
6/28/2024,CD Deposit Funds,29978MCE6,"EVERBANK, NTNL AS 5.3XXX**MATURED** US",,,,"$5,100.00 "
6/28/2024,CD Deposit Adj,29978MCE6,"EVERBANK, NTNL AS 5.3XXX**MATURED** US","-102,000",,,$0.00 
7/12/2024,Funds Received,,FUNDS RECEIVED,,,,"$17,502.35 "
7/15/2024,Buy,SNVXX,SCHWAB GOVERNMENT MONEY INV,"200,000",0.05,,"($10,000.00)"
7/15/2024,Buy,045491TD9,ASSOCIATED BANK N 5.2%24CD FDIC INS DUE 10/24/24US,"240,000",5,,"($12,000.00)"
7/15/2024,Buy,38150VVR7,GOLDMAN SACHS BAN 5.1%24CD FDIC INS DUE 10/23/24US,"200,000",5,,"($10,000.00)"
7/16/2024,Sell,AMBA,AMBARELLA INC F,4.2667,3.25,$0.01 ,$13.87 
7/17/2024,Buy,45385JBX5,INDEPENDENT BK M 5.25%24CD FDIC INS DUE 10/29/24US,"161,000",5,,"($8,050.00)"
7/18/2024,Sell,SNVXX,SCHWAB GOVERNMENT MONEY INV,"160,000",0.05,,"$8,000.00 "
7/18/2024,Reinvest Shares,INTU,INTUIT INC,0.0013,32.63,,($0.04)
7/18/2024,Qual Div Reinvest,INTU,INTUIT INC,,,,$0.04 
7/19/2024,Bank Interest Adj,,BANK INA ...824 SCHWAB BANK,,,,($0.12)
8/7/2024,Funds Received,,FUNDS RECEIVED,,,,"$6,300.00 "
8/9/2024,Service Fee,,Returned Deposit Fee,,,,($1.25)
8/12/2024,Bank Interest Adj,,BANK INA ...124 SCHWAB PREMIER BANK,,,,($0.31)
8/15/2024,Reinvest Dividend,SNVXX,SCHWAB GOVERNMENT MONEY INV,,,,$11.81 
8/15/2024,Reinvest Shares,SNVXX,SCHWAB GOVERNMENT MONEY INV,236.29,0.05,,($11.81)
8/15/2024,Qualified Dividend,ACN,ACCENTURE PLC FCLASS A,,,,$0.12 
8/23/2024,Sell,CEVA,CEVA INC,4.3698,1.25,,$5.46 
8/23/2024,Reinvest Shares,COF,CAPITAL ONE FC,0.0143,7.01,,($0.10)
8/23/2024,Sell,XMTR,XOMETRY INC CLASS A,5.0238,1,,$5.02 
8/23/2024,Qual Div Reinvest,COF,CAPITAL ONE FC,,,,$0.10 
8/30/2024,CD Deposit Funds,045491SK4,ASSOCIATED BANK N 5.4XXX**MATURED** US,,,,"$2,500.00 "
8/30/2024,CD Deposit Adj,045491SK4,ASSOCIATED BANK N 5.4XXX**MATURED** US,"-50,000",,,$0.00 
8/30/2024,CD Interest,045491SK4,ASSOCIATED BANK N 5.4XXX**MATURED** US,,,,$34.03 
9/3/2024,Reinvest Shares,INTC,INTEL CORP,0.0931,1.05,,($0.10)
9/10/2024,Reinvest Shares,IBM,IBM CORP,0.0355,10.21,,($0.36)
9/10/2024,Foreign Tax Paid,TRI,THOMSON REUTERS CORP F,,,,($0.02)
9/10/2024,Qualified Dividend,TRI,THOMSON REUTERS CORP F,,,,$0.08 
9/10/2024,Qual Div Reinvest,IBM,IBM CORP,,,,$0.36 
9/12/2024,Reinvest Shares,MSFT,MICROSOFT CORP,0.0063,21.08,,($0.13)
9/12/2024,Reinvest Shares,SSTK,SHUTTERSTOCK INC,0.0219,1.65,,($0.04)
9/12/2024,Qual Div Reinvest,MSFT,MICROSOFT CORP,,,,$0.13 
9/12/2024,Qual Div Reinvest,SSTK,SHUTTERSTOCK INC,,,,$0.04 
9/16/2024,Reinvest Dividend,SNVXX,SCHWAB GOVERNMENT MONEY INV,,,,$8.81 
9/16/2024,Reinvest Shares,SNVXX,SCHWAB GOVERNMENT MONEY INV,176.14,0.05,,($8.81)
9/16/2024,Reinvest Shares,GOOGL,ALPHABET INC CLASS A,0.0134,7.89,,($0.11)
9/16/2024,Qual Div Reinvest,GOOGL,ALPHABET INC CLASS A,,,,$0.11 
9/17/2024,Bank Interest,,BANK INA ...624 SCHWAB PREMIER BANK,,,,$0.00 
9/18/2024,Sell to Open,AI 09/20/2024 21.50 P,PUT C3 AI INC $21.5 EXP 09/20/24,40,0,$26.55 ,$6.67 
9/18/2024,Sell to Open,INTC 09/20/2024 19.00 P,PUT INTEL CORP $19 EXP 09/20/24,50,0,$33.19 ,$3.34 
9/24/2024,Sell to Open,NVDA 09/27/2024 113.00 P,PUT NVIDIA CORP $113 EXP 09/27/24,5,0.04,$3.32 ,$21.08 
9/24/2024,Sell to Open,RUN 09/27/2024 18.00 P,PUT SUNRUN INC $18 EXP 09/27/24,30,0.01,$19.93 ,$26.00 
9/24/2024,Sell to Open,RIVN 09/27/2024 11.00 P,PUT RIVIAN AUTOMOTIVE IN$11 EXP 09/27/24,40,0,$26.54 ,$6.67 
9/25/2024,CD Interest,74049NDF1,PREMIER BANK 5.4XXX**MATURED** US,,,,$136.11 
9/25/2024,CD Deposit Funds,74049NDF1,PREMIER BANK 5.4XXX**MATURED** US,,,,"$10,000.00 "
9/25/2024,CD Deposit Adj,74049NDF1,PREMIER BANK 5.4XXX**MATURED** US,"-200,000",,,$0.00 
9/26/2024,Qualified Dividend,META,META PLATFORMS INC CLASS A,,,,$0.07 
9/30/2024,Sell,SNVXX,SCHWAB GOVERNMENT MONEY INV,"40,412.43",0.05,,"$2,020.62 "
10/1/2024,Journaled Shares,SCHX,SCHWAB US LARGE CAP ETF,267.8177,3.36,,$0.00 
10/1/2024,Journaled Shares,FNDX,SCHWAB FUNDMNTL US LARGECOM ETF,294.4279,3.56,,$0.00 
10/1/2024,Journaled Shares,VTEI,VAN INTERMD TAX BND,"1,002.60",5.05,,$0.00 
10/1/2024,Journaled Shares,VCRB,VAN CORE BOND,401.3962,3.97,,$0.00 
10/2/2024,Sell to Open,SMCI 10/04/2024 38.00 P,PUT SUPER MICRO COMPUTER$38 EXP 10/04/24,10,0.02,$6.65 ,$14.67 
10/2/2024,Sell to Open,RIVN 10/04/2024 10.00 P,PUT RIVIAN AUTOMOTIVE IN$10 EXP 10/04/24,10,0.01,$6.62 ,$10.17 
10/2/2024,Sell to Open,LCID 10/04/2024 3.00 P,PUT LUCID GROUP INC $3 EXP 10/04/24,40,0,$26.55 ,$4.67 
10/3/2024,Reinvest Shares,NVDA,NVIDIA CORP,0.0016,6.12,,($0.01)
10/3/2024,Non-Qualified Div,VCRB,VAN CORE BOND,,,,$4.15 
10/3/2024,Cash Dividend,VTEI,VAN INTERMD TAX BND,,,,$12.58 
10/3/2024,Qual Div Reinvest,NVDA,NVIDIA CORP,,,,$0.01 
10/7/2024,Sell to Open,RUN 10/11/2024 16.00 P,PUT SUNRUN INC $16 EXP 10/11/24,20,0.02,$13.30 ,$36.34 
10/7/2024,Sell to Open,LCID 10/11/2024 3.00 P,PUT LUCID GROUP INC $3 EXP 10/11/24,50,0,$33.18 ,$3.34 
10/7/2024,Journaled Shares,NVDA,NVIDIA CORP,500.0409,6.25,,$0.00 
10/7/2024,Journaled Shares,IAU,ISHARES GOLD ETF,52,2.5,,$0.00 
10/7/2024,Journaled Shares,SOFI,SOFI TECHNOLOGIES INC,"2,000",0.42,,$0.00 
10/9/2024,ADR Mgmt Fee,WIT,WIPRO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,($0.06)
10/15/2024,Cash Dividend,SNVXX,SCHWAB GOVERNMENT MONEY INV,,,,$3.60 
10/18/2024,Reinvest Shares,INTU,INTUIT,0.0016,30.55,,($0.05)
10/18/2024,Qual Div Reinvest,INTU,INTUIT,,,,$0.05 
10/22/2024,Sell to Open,RUN 10/25/2024 12.50 P,PUT SUNRUN INC $12.5 EXP 10/25/24,20,0,$13.28 ,$7.34 
10/22/2024,Sell to Open,NVDA 10/25/2024 150.00 C,CALL NVIDIA CORP $150 EXP 10/25/24,5,0.03,$3.32 ,$16.33 
10/22/2024,Sell to Open,SOFI 10/25/2024 11.00 C,CALL SOFI TECHNOLOGIES I$11 EXP 10/25/24,20,0,$13.28 ,$7.34 
10/22/2024,Sell to Open,INTC 11/01/2024 21.00 P,PUT INTEL CORP $21 EXP 11/01/24,20,0.03,$13.30 ,$52.34 
10/23/2024,CD Interest,38150VVR7,GOLDMAN SACHS BAN 5.1XXX**MATURED** US,,,,$128.55 
10/23/2024,Sell to Open,GME 11/01/2024 19.00 P,PUT GAMESTOP CORP NEW $19 EXP 11/01/24,20,0,$13.28 ,$7.34 
10/23/2024,Sell to Open,SQQQ 11/01/2024 7.00 P,PUT PROSHARES TR $7 EXP 11/01/24,40,0.01,$26.56 ,$24.67 
10/23/2024,CD Deposit Funds,38150VVR7,GOLDMAN SACHS BAN 5.1XXX**MATURED** US,,,,"$10,000.00 "
10/23/2024,CD Deposit Adj,38150VVR7,GOLDMAN SACHS BAN 5.1XXX**MATURED** US,"-200,000",,,$0.00 
10/24/2024,CD Interest,045491TD9,ASSOCIATED BANK N 5.2XXX**MATURED** US,,,,$157.28 
10/24/2024,CD Deposit Funds,045491TD9,ASSOCIATED BANK N 5.2XXX**MATURED** US,,,,"$12,000.00 "
10/24/2024,CD Deposit Adj,045491TD9,ASSOCIATED BANK N 5.2XXX**MATURED** US,"-240,000",,,$0.00 
10/24/2024,Buy,94768NNX8,"WEBSTER BANK, N. 4.45%25CD FDIC INS DUE 01/30/25US","100,000",5,,"($5,000.00)"
10/24/2024,Buy,332135LV2,FIRST NTNL BANK 4.35%25CD FDIC INS DUE 05/06/25US,"150,000",5,,"($7,500.00)"
10/24/2024,Buy,46657VNP1,JPMORGAN CHASE B 4.45%25CD FDIC INS DUE 11/05/25US,"50,000",5,,"($2,500.00)"
10/24/2024,Buy,332135LV2,FIRST NTNL BANK 4.35%25CD FDIC INS DUE 05/06/25US,"250,000",5,,"($12,500.00)"
10/25/2024,Buy to Close,SOFI 10/25/2024 11.00 C,CALL SOFI TECHNOLOGIES I$11 EXP 10/25/24,20,0,$13.22 ,($6.66)
10/28/2024,Journaled Shares,INTC,INTEL CORP,"2,011.94",1.13,,$0.00 
10/28/2024,Journaled Shares,SCHP,SCHWAB US TIPS ETF,146.1736,1.31,,$0.00 
10/28/2024,Journaled Shares,SQQQ,PROSHARES ULTRAPRO SHORTQQQ ETF,146.1736,0.36,,$0.00 
10/28/2024,Journaled Shares,VTEB,VANGUARD MUNI BND TAX EXEMPT ETF,"1,067.55",2.52,,$0.00 
10/29/2024,Sell to Open,MSTR 11/01/2024 260.00 P,PUT MICROSTRATEGY INC $260 EXP 11/01/24,2,0.76,$1.40 ,$152.73 
10/29/2024,CD Deposit Funds,45385JBX5,INDEPENDENT BANK 5.25XXX**MATURED** US,,,,"$8,050.00 "
10/29/2024,CD Deposit Adj,45385JBX5,INDEPENDENT BANK 5.25XXX**MATURED** US,"-161,000",,,$0.00 
10/29/2024,Sell to Open,RUN 11/08/2024 16.00 C,CALL SUNRUN INC $16 EXP 11/08/24,20,0.04,$13.32 ,$79.33 
10/29/2024,CD Interest,45385JBX5,INDEPENDENT BANK 5.25XXX**MATURED** US,,,,$106.52 
10/29/2024,Sell to Open,NVDA 11/01/2024 145.00 C,CALL NVIDIA CORP $145 EXP 11/01/24,5,0.07,$3.33 ,$32.83 
10/30/2024,Sell to Open,MSTX 11/15/2024 45.00 P,PUT TIBAL DEF DLY TGT $45 EXP 11/15/24,20,0.26,$13.57 ,$519.32 
10/30/2024,Sell to Open,MSTR 11/01/2024 255.00 P,PUT MICROSTRATEGY INC $255 EXP 11/01/24,2,0.55,$1.39 ,$109.93 
10/30/2024,Journaled Shares,SQQQ,PROSHARES ULTRAPRO SHORTQQQ ETF,"4,013.83",0.35,,$0.00 
10/30/2024,Buy to Close,MSTR 11/01/2024 260.00 P,PUT MICROSTRATEGY INC $260 EXP 11/01/24,2,0.65,$1.32 ,($129.07)
10/31/2024,Buy,AAPL,APPLE INC,500,11.1,,"($5,550.00)"
10/31/2024,Sell to Open,ARM 11/08/2024 140.00 P,PUT ARM HLDGS PLC $140 EXP 11/08/24,4,0.38,$2.73 ,$150.86 
11/1/2024,Buy to Close,SQQQ 11/01/2024 7.00 P,PUT PROSHARES TR $7 EXP 11/01/24,40,0,$0.44 ,($2.02)
11/1/2024,Buy to Close,MSTR 11/01/2024 255.00 P,PUT MICROSTRATEGY INC $255 EXP 11/01/24,2,0.65,$1.32 ,($130.07)
11/1/2024,Sell to Open,AAPL 11/08/2024 230.00 C,CALL APPLE INC $230 EXP 11/08/24,5,0.06,$3.33 ,$29.83 
11/4/2024,Sell to Open,SOFI 11/22/2024 11.50 C,CALL SOFI TECHNOLOGIES I$11.5 EXP 11/22/24,20,0.02,$13.30 ,$30.34 
11/5/2024,Sell to Open,RIVN 11/08/2024 9.00 P,PUT RIVIAN AUTOMOTIVE IN$9 EXP 11/08/24,50,0.01,$33.22 ,$48.34 
11/5/2024,Sell to Open,INTC 11/15/2024 21.00 P,PUT INTEL CORP $21 EXP 11/15/24,40,0.01,$26.57 ,$34.67 
11/5/2024,Sell to Open,MSTX 11/15/2024 37.00 P,PUT TIBAL DEF DLY TGT $37 EXP 11/15/24,20,0.19,$13.49 ,$369.33 
11/5/2024,Sell to Open,NVDA 11/08/2024 144.00 C,CALL NVIDIA CORP $144 EXP 11/08/24,5,0.06,$3.33 ,$30.33 
11/5/2024,Reinvest Shares,VTEB,VANGUARD MUNI BND TAX EXEMPT ETF,2.7817,2.52,,($7.00)
11/5/2024,Reinvest Dividend,VTEB,VANGUARD MUNI BND TAX EXEMPT ETF,,,,$7.00 
11/5/2024,Cash Dividend,VTEI,VAN INTERMD TAX BND,,,,$12.34 
11/5/2024,Non-Qualified Div,VCRB,VAN CORE BOND,,,,$5.77 
11/7/2024,Reinvest Shares,SCHP,SCHWAB US TIPS ETF,0.1617,1.31,,($0.21)
11/7/2024,Reinvest Dividend,SCHP,SCHWAB US TIPS ETF,,,,$0.21 
11/7/2024,Reverse Split,SQQQ,PROSHARES ULTRAPRO SHORTQQQ ETF,832,,,$0.00 
11/7/2024,Reverse Split,74347G432,PROSHARES ULTRAPRO SHXXXREVERSE SPLIT EFF: 11/07/24,"-4,160.00",,,$0.00 
11/8/2024,Buy to Close,INTC 11/15/2024 21.00 P,PUT INTEL CORP $21 EXP 11/15/24,25,0,$0.27 ,($1.26)
11/8/2024,Buy to Close,NVDA 11/08/2024 144.00 C,CALL NVIDIA CORP $144 EXP 11/08/24,5,0.15,$3.30 ,($75.17)
11/8/2024,Sell to Open,SQQQ 12/13/2024 28.00 P,PUT PROSHARES TR $28 EXP 12/13/24,100,0.02,$66.50 ,$206.68 
11/8/2024,Sell to Open,SOUN 11/15/2024 5.50 P,PUT SOUNDHOUND AI INC $5.5 EXP 11/15/24,100,0.01,$66.40 ,$51.68 
11/8/2024,Buy to Close,ARM 11/08/2024 140.00 P,PUT ARM HLDGS PLC $140 EXP 11/08/24,4,0,$0.04 ,($0.40)
11/8/2024,Buy to Close,AAPL 11/08/2024 230.00 C,CALL APPLE INC $230 EXP 11/08/24,5,0,$0.05 ,($0.75)
11/11/2024,Sell to Open,RUN 11/22/2024 9.50 P,PUT SUNRUN INC $9.5 EXP 11/22/24,40,0.02,$26.58 ,$64.67 
11/12/2024,Sell to Open,AAPL 11/22/2024 230.00 C,CALL APPLE INC $230 EXP 11/22/24,5,0.05,$3.33 ,$27.08 
11/12/2024,ADR Mgmt Fee,BIDU,BAIDU INC FSPONSORED ADR 1 ADR REPS 8 ORD SHS,,,,$0.00 
11/14/2024,Reinvest Shares,AAPL,APPLE INC,0.5524,11.31,,($6.25)
11/14/2024,Qual Div Reinvest,AAPL,APPLE INC,,,,$6.25 
11/15/2024,Qualified Dividend,ACN,ACCENTURE PLC IRELAND FCLASS A,,,,$0.14 
11/19/2024,Sell to Open,NVDA 11/22/2024 148.00 C,CALL NVIDIA CORP $148 EXP 11/22/24,5,0.18,$3.36 ,$91.08 
11/20/2024,Sell to Open,SOUN 12/27/2024 5.50 P,PUT SOUNDHOUND AI INC $5.5 EXP 12/27/24,100,0.01,$66.45 ,$116.68 
11/22/2024,Sell to Open,INTC 12/20/2024 27.50 C,CALL INTEL CORP $27.5 EXP 12/20/24,20,0.02,$13.28 ,$34.34 
11/22/2024,Sell to Open,AAPL 12/13/2024 235.00 C,CALL APPLE INC $235 EXP 12/13/24,5,0.1,$3.35 ,$49.33 
11/22/2024,Sell to Open,SOUN 12/13/2024 6.50 P,PUT SOUNDHOUND AI INC $6.5 EXP 12/13/24,100,0.01,$66.40 ,$71.68 
11/22/2024,Reinvest Shares,COF,CAPITAL ONE FINL CORP,0.0108,9.31,,($0.10)
11/22/2024,Sell to Open,RUN 12/20/2024 9.00 P,PUT SUNRUN INC $9 EXP 12/20/24,40,0.02,$26.60 ,$70.67 
11/22/2024,Sell,SOUN,SOUNDHOUND AI INC CLASS A,24.4702,0.4,$0.01 ,$9.79 
11/22/2024,Buy to Close,NVDA 11/22/2024 148.00 C,CALL NVIDIA CORP $148 EXP 11/22/24,5,0,$0.05 ,($1.00)
11/22/2024,Buy to Close,AAPL 11/22/2024 230.00 C,CALL APPLE INC $230 EXP 11/22/24,5,0.01,$3.30 ,($4.92)
11/22/2024,Qual Div Reinvest,COF,CAPITAL ONE FINL CORP,,,,$0.10 
11/25/2024,Sell,FNDX,SCHWAB FUNDMNTL US LARGECOM ETF,882.4279,1.25,$0.76 ,"$1,103.00 "
11/27/2024,Sell to Open,LCID 12/13/2024 2.00 P,PUT LUCID GROUP INC $2 EXP 12/13/24,100,0,$66.41 ,$41.68 
